Grapheme	IPA	arch1244	bezh1248	cent2050	chew1245	dutc1256	gali1262	gaww1239	guri1247	haus1257	hawa1245	hmon1333	hupd1244	imba1240	indo1316	iraq1241	kekc1242	kett1243	kild1236	lowe1385	mana1288	mand1415	mapu1245	mezq1235	nucl1643	oldh1241	oroq1238	plat1254	roma1327	sara1340	sese1246	stan1293	swah1253	taki1248	tari1263	thai1261	tzot1259	viet1252	west2376	wich1264	yaku1245	yaqu1251
!$	NULL																											NULL														
$	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
'	NULL																ʔ							ʔ													ʔ					
'$	NULL															ʔ																					ʔ					
'_	NULL																							NULL													NULL					
'a	NULL														ʔ a	ʔ a																										
'a$	NULL						ʔ a									ʔ a																										
'b	NULL																							ˀb																		
'ch	NULL																							ˀc																		
'e	NULL						ʔ e									ʔ e																										
'e$	NULL						ʔ e																																			
'i	NULL															ʔ i																										
'i$	NULL						ʔ I									ʔ i																										
'k	NULL						ʔ k																																			
'kw	NULL																							ˀkʷ																		
'm	NULL						ʔ m																	ˀm																		
'n	NULL						ʔ n									ʔ n								ˀn																		
'o	NULL															ʔ o																										
'o$	NULL															ʔ o																										
'p	NULL						ʔ p																																			
'r	NULL																							ˀr																		
't	NULL						ʔ t																																			
'u	NULL						ʔ u									ʔ u																										
'u$	NULL																							'u/u																		
'w	NULL																							ˀw																		
'x	NULL																							ˀx																		
'y	NULL																							ˀj																		
'à	NULL									ʔ à/a																																
'à$	NULL			'à/a																																						
'á	NULL			'á/a						ʔ á/a						ʔ á/a																										
'ä$	NULL																							ʔ ɐ																		
'ì	NULL									ʔ ì/i																																
'í	NULL															ʔ í/i																										
'î	NULL									ʔ î/i																																
'ñ	NULL																							ˀɲ																		
(	NULL							NULL																				NULL														
(ʔille)_paah	NULL							ʔ i l l e _ p a a h																																		
(ʕanɗe)_ʔí=t’aarama	NULL							ʕ a n ɗ e _ ʔ í + t’ a a r a m a																																		
)	NULL							NULL																				NULL														
*$	NULL																					NULL																				
-	NULL	+	+	+			+	+	+	+		+		+	+	+	+	+	+	+	+	+	+	+	+		+	+	+		+		+	+	+	+	+		+		+	+
-CL	NULL																					NULL																				
.	NULL			NULL			NULL		_								NULL	_				NULL						NULL							NULL		_				NULL	
1	NULL							NULL													NULL	NULL																				
1$	NULL																					NULL																				
2	NULL							NULL													NULL	NULL																				
2$	NULL																					NULL																				
3	NULL																				NULL	NULL																				
3$	NULL																					NULL																				
4	NULL																				NULL	NULL																				
4$	NULL																					NULL																				
5$	NULL																					NULL																				
7	NULL																																				ʔ					
7$	NULL																																				ʔ					
9$	NULL																																			NULL						
<	NULL	NULL																																								
=	NULL							+													+													+	+							
>	NULL	NULL																																								
?	NULL																						NULL													ʔ						
?$	NULL																			NULL				NULL											ʔ							
A	NULL														A/a																											
B	NULL																																	B/b								
CL	NULL																					NULL																				
Err:509	NULL							+ i m																																		
F	NULL							NULL																																		
H	NULL																																					H/h				
I$	NULL														i																											
Jw	NULL																							J/x w																		
M	NULL							NULL							M/m																											
N	NULL																											N/n														
S	NULL											S/ʂ																														
Tsw	NULL											Ts/tʃ ɯ																														
V	NULL											V/v																														
VCL	NULL																					NULL																				
X	NULL																					NULL																				
^	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
^'b	NULL																							ˀb																		
^'m	NULL																							ˀm																		
^'n	NULL																							ˀn																		
^'r	NULL																							ˀr																		
^'w	NULL																							ˀw																		
^'y	NULL									ʔʲ														ˀj																		
^'ñ	NULL																							ˀɲ																		
^(be)_silent$	NULL																															s aɪ l ə n t										
^(finger)nail$	NULL																															n eɪ l										
^(good)_luck$	NULL																															l ʌ k										
^(sea)gull$	NULL																															ɡ ʌ l										
^(sting)ray$	NULL																															r eɪ										
^(tree-)stump$	NULL																															s t ʌ m p										
^-A	NULL																																								+ A/a	
^-a$	NULL			+ a																																						
^-fffu$	NULL																																	+ fː u								
^-ngka	NULL								+ n g k a																																	
^-‘bya$	NULL																							+ ˀb j a																		
^1	NULL																				NULL																					
^1$	NULL																					NULL																				
^2	NULL																				NULL																					
^3	NULL																				NULL	NULL																				
^3$	NULL																					NULL																				
^4	NULL																				NULL	NULL																				
^7	NULL																																				ʔ					
^=	NULL							+											+		+													+	+							
^=s	NULL							+ s																																		
^?	NULL																																			ʔ						
^A	NULL		A/a							A/a																							A/a									
^B	NULL		B/b																														B/ɓ									
^Friday$	NULL																															f r aɪ d ɪ										
^H	NULL										H/h																						H/h									
^I	NULL																																I/i									
^I$	NULL																															aɪ										
^J	NULL									J/dʒ					J/dʒ																		J/dʒ									
^K	NULL										K/k				K/k																K/k											
^L	NULL									L/l	L/l																															
^M	NULL										M/m																				M/m		M/m									
^Monday$	NULL																															m ʌ n d ɪ										
^N	NULL										N/n																															
^P	NULL										P/p																															
^PSK$	NULL														p eː s k a																											
^R	NULL														R/r																											
^S	NULL														S/s																											
^SIM$	NULL														s i m																											
^Saturday$	NULL																															s æ t ə d ɪ										
^Sunday$	NULL																															s ʌ n d ɪ										
^T	NULL									T/t																																
^TV$	NULL														t i f i																											
^Th	NULL																																					Tʰ/tʰ				
^Thursday$	NULL																															θ ɜː z d ɪ										
^Tuesday$	NULL																															t j uː z d ɪ										
^V	NULL											V/v																														
^WC$	NULL														w e s e																											
^WTS$	NULL														w é/e t éé/eː s																											
^Wednesday$	NULL																															w ɛ n z d ɪ										
^X	NULL																					NULL																				
^Y	NULL											Y/ʝ										Y/ɥ																				
^`	NULL																																				ʔ					
^`A	NULL										`A/a																															
^a	NULL	a	a				a				a	a		a	a	a	a	a	a	a	a	a		a	a	a	a	a	a	a	a		a	a	a			a	a	a	a	a
^a$	NULL										a					a		a	a	a	a									a				a								
^a:	NULL																										aː															
^aa	NULL															aː	aː	aː																								aː
^aa$	NULL															aː																										
^aalscholver$	NULL					aː l s x ɔ l v ə r																																				
^aambeeld$	NULL					aː m b eː l t																																				
^aan_land_gaan$	NULL					aː n # l ɑ n t # x aː n																																				
^aanbidden$	NULL					aː m b ɪ d ə																																				
^aanklager$	NULL					aː ŋ k l aː ɣ ə r																																				
^aankomen$	NULL					aː ŋ k oː m ə																																				
^aankondigen$	NULL					aː ŋ k ɔ n d ə ɣ ə																																				
^aanraken$	NULL					aː n r aː k ə																																				
^aanranding$	NULL					aː n r ɑ n d ɪ ŋ																																				
^aansteken$	NULL					aː n s t eː k ə																																				
^aanstellen$	NULL					aː n s t ɛ l ə																																				
^aantrekken$	NULL					aː n t r ɛ k ə																																				
^aanval$	NULL					aː n v ɑ l																																				
^aap$	NULL					aː p																																				
^aardappel$	NULL					aː r d ɑ p ə l																																				
^aardbeving$	NULL					aː r d b eː v ɪ ŋ																																				
^aardolie$	NULL					aː r d oː l iː																																				
^aas$	NULL					aː s																																				
^above$	NULL																															ə b ʌ v										
^accuse$	NULL																															ə k j uː z										
^acht$	NULL					ɑ x t																																				
^achter$	NULL					ɑ x t ə r																																				
^achtervolgen$	NULL					ɑ x t ə r v ɔ l ɣ ə																																				
^acorn$	NULL																															eɪ k ɔː n										
^acquit$	NULL																															ə k w ɪ t										
^address$	NULL																															ə d r ɛ s										
^adelaar$	NULL					aː d ə l aː r																																				
^ademen$	NULL					aː d ə m ə																																				
^ader$	NULL					aː d ə r																																				
^adjudicate$	NULL																															ə dʒ uː d ɪ k eɪ t										
^admit$	NULL																															ə d m ɪ t										
^adobe$	NULL																															ə d əʊ b ɪ										
^adres$	NULL					ɑ d r ɛ s																																				
